Name,Measure Info,Geo Place Name,Unnamed: 8,,Data Value,Zip Code,Borough
Nitrogen dioxide (NO2),ppb,Flushing and Whitestone (CD7),,,23.97,11354,Queens
Nitrogen dioxide (NO2),ppb,Upper West Side (CD7),,,27.42,10024,Manhattan
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,12.55,11693,Queens
Nitrogen dioxide (NO2),ppb,Flushing and Whitestone (CD7),,,22.63,11354,Queens
Nitrogen dioxide (NO2),ppb,Flushing and Whitestone (CD7),,,14,11354,Queens
Nitrogen dioxide (NO2),ppb,Upper West Side (CD7),,,26.43,10024,Manhattan
Nitrogen dioxide (NO2),ppb,Upper West Side (CD7),,,19.1,10024,Manhattan
Nitrogen dioxide (NO2),ppb,Flatbush and Midwood (CD14),,,17.28,11230,Brooklyn
Nitrogen dioxide (NO2),ppb,Flushing and Whitestone (CD7),,,18.2,11354,Queens
Nitrogen dioxide (NO2),ppb,Upper West Side (CD7),,,22.07527023,10024,Manhattan
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,11.33729397,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,8.44,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,20.26,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,12.54,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,20.58,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,4.850858294,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,10.41,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,15.70203388,11693,Queens
Fine particles (PM 2.5),mcg/m3,Sunset Park (CD7),,,9.18,11220,Brooklyn
Fine particles (PM 2.5),mcg/m3,Upper West Side (CD7),,,8.85,10024,Manhattan
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,6.33109299,11693,Queens
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,10.74,11693,Queens
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,10.59,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,8.11,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,7.88,11693,Queens
Nitrogen dioxide (NO2),ppb,Sunset Park (CD7),,,27.81,11220,Brooklyn
Nitrogen dioxide (NO2),ppb,Sunset Park (CD7),,,18.52,11220,Brooklyn
Nitrogen dioxide (NO2),ppb,Flatbush and Midwood (CD14),,,23.47,11230,Brooklyn
Nitrogen dioxide (NO2),ppb,Flushing and Whitestone (CD7),,,16.27,11354,Queens
Nitrogen dioxide (NO2),ppb,Upper West Side (CD7),,,18.1703003,10024,Manhattan
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,14.31,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,9.94,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,11.36047467,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,20.89,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,22.58,11693,Queens
Fine particles (PM 2.5),mcg/m3,Kingsbridge Heights and Bedford (CD7),,,7.78,10468,Bronx
Fine particles (PM 2.5),mcg/m3,Sunset Park (CD7),,,10.7,11220,Brooklyn
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,7.61,11693,Queens
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,5.918832207,11693,Queens
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,6.32,11693,Queens
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,10.28,11693,Queens
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,9.6,11693,Queens
Nitrogen dioxide (NO2),ppb,Sunset Park (CD7),,,16.22,11220,Brooklyn
Nitrogen dioxide (NO2),ppb,Flushing and Whitestone (CD7),,,14.4,11354,Queens
Nitrogen dioxide (NO2),ppb,Flushing and Whitestone (CD7),,,22.99,11354,Queens
Fine particles (PM 2.5),mcg/m3,Upper West Side (CD7),,,6.790552345,10024,Manhattan
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,6.06,11693,Queens
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,7.248801127,11693,Queens
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,5.964648061,11693,Queens
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,9.44,11693,Queens
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,9.41,11693,Queens
Fine particles (PM 2.5),mcg/m3,Flushing and Whitestone (CD7),,,7.26,11354,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,17.49,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,7.22,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,9.361544124,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,11.87774283,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,18.77,11693,Queens
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),,,13.95,11693,Queens
Nitrogen dioxide (NO2),ppb,Williamsburg - Bushwick,,,23.43,11206,Brooklyn
Nitrogen dioxide (NO2),ppb,South Beach - Tottenville,,,12.47,10307,Staten Island
Nitrogen dioxide (NO2),ppb,South Beach - Tottenville,,,6.854871982,10307,Staten Island
Nitrogen dioxide (NO2),ppb,Southeast Queens,,,19.77780206,11434,Queens
Nitrogen dioxide (NO2),ppb,Sunset Park (CD7),,,20.33,11220,Brooklyn
Fine particles (PM 2.5),mcg/m3,Sunset Park (CD7),,,12.62,11220,Brooklyn
Fine particles (PM 2.5),mcg/m3,Upper West Side (CD7),,,6.101604201,10024,Manhattan
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,9.87,11693,Queens
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,7,11693,Queens
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,5.59,11693,Queens
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,5.024423733,11693,Queens
Nitrogen dioxide (NO2),ppb,Flushing and Whitestone (CD7),,,11.06,11354,Queens
Nitrogen dioxide (NO2),ppb,Southeast Queens,,,16.05,11434,Queens
Nitrogen dioxide (NO2),ppb,Southeast Queens,,,22.67,11434,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,17.2,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,14.30918095,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,17.8,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,17.46,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,27.47,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,23,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside - Little Neck,,,20.9,11361,Queens
Nitrogen dioxide (NO2),ppb,Bayside - Little Neck,,,12.73,11361,Queens
Nitrogen dioxide (NO2),ppb,Southeast Queens,,,14.32,11434,Queens
Nitrogen dioxide (NO2),ppb,Southeast Queens,,,14.59,11434,Queens
Nitrogen dioxide (NO2),ppb,Southeast Queens,,,16.22,11434,Queens
Nitrogen dioxide (NO2),ppb,Southeast Queens,,,18.59771003,11434,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,16.4,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,19.88914473,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,15.41,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,15,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,17.1,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside - Little Neck,,,9.969849112,11361,Queens
Nitrogen dioxide (NO2),ppb,Pelham - Throgs Neck,,,17.92,10465,Bronx
Nitrogen dioxide (NO2),ppb,South Beach - Tottenville,,,8.15,10307,Staten Island
Nitrogen dioxide (NO2),ppb,Sheepshead Bay (CD15),,,16.39,11235,Brooklyn
Nitrogen dioxide (NO2),ppb,Coney Island (CD13),,,12.93,11224,Brooklyn
Nitrogen dioxide (NO2),ppb,Sheepshead Bay (CD15),,,19.05259378,11235,Brooklyn
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),,,16.49,11427,Queens
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),,,14.62480522,11427,Queens
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),,,16.26,11427,Queens
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),,,10.40210304,11427,Queens
Fine particles (PM 2.5),mcg/m3,Sheepshead Bay (CD15),,,6.85,11235,Brooklyn
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),,,7.08,11427,Queens
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),,,6.621152709,11427,Queens
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),,,18.77722805,11427,Queens
