ACRES,,BOROUGH,ZIPCODE
0.344,,X,10453
0.436,,X,10453
0.06,,X,10453
0.15,,X,10453
5.829,,M,10019
0.618,,X,10457
0.61,,X,10453
0.714,,X,10453
0.7,,X,10453
0.223,,M,10014
2.3,,B,11212
0.392,,B,11211
0.381,,X,10453
0.82,,X,10452
0.545,,M,10034
2.61,,M,10002
0.144,,M,10001
0.21,,M,10001
1.377,,X,"10451, 10456"
4.72,,X,10456
0.11,,X,10452
13.35,,M,"10027, 10031"
0.774,,M,10032
0.183,,X,10460
15.524,,M,10029
1.2,,X,10459
0.227,,X,10451
0.116,,X,10451
1.383,,M,10065
1.524,,M,10032
0.988,,X,10455
1.882,,X,10454
2.646,,X,10466
0.817,,Q,11369
0.401,,X,10462
15.383,,M,10040
71.933,,M,"10019, 10023"
1.657,,Q,11692
0.44,,X,10460
20.165,,M,10027
9.181,,R,10307
83.3,,R,"10301, 10310"
0.32,,X,10457
52.68328275,,R,"10301, 10304"
1.38,,B,11231
67.213,,M,10040
0.066,,M,10009
0.072,,M,10025
0.06,,M,10009
0.05,,M,10009
0.08,,M,10035
0.11,,M,10009
0.38,,M,10025
0.118,,M,10030
0.252,,M,10035
0.947,,M,10023
1.27,,M,10035
1.719,,Q,11372
1.25,,Q,11369
3.867,,Q,11423
1.598,,Q,11374
1.749,,Q,11365
2.758,,Q,11106
5.4,,Q,11385
0.218,,Q,11101
0.9,,Q,11385
0.143,,Q,11435
2.5,,Q,11377
5.43,,Q,11377
3.852,,M,10031
0.551,,M,10019
1.945,,M,10025
0.738,,M,10024
0.266,,M,10012
2.217,,Q,11420
2.043,,Q,11412
1.381,,Q,11435
0.448,,Q,11379
0.398,,Q,11368
0.95,,M,10029
2.2,,Q,11103
0.213,,B,11212
0.104,,B,11212
0.173,,M,10029
0.106,,B,11212
1.56,,B,11213
1.228,,M,10037
3.05,,M,10039
1.085,,B,11211
0.206,,B,11203
0.032,,B,11209
10.391,,B,11201
6.7,,B,11234
0.585,,B,11201
3.827,,Q,11369
0.97,,M,10029
0.67,,M,10027
0.059,,M,10035
0.883,,M,10035
1.691,,M,10027
0.766,,M,10037
0.192,,M,10017
0.229,,M,10017
0.095,,M,10017
0.517,,M,10025
1.441,,M,10025
1,,M,10034
1.75,,M,10038
1.43,,M,10027
1.478,,M,10029
0.226,,Q,11417
6.423,,M,10037
0.749,,M,10023
0.943,,M,10029
0.789,,M,10002
1.35,,Q,11365
2.16,,X,10473
1,,X,10473
3.504,,Q,11433
1.26,,B,11206
0.112,,B,11208
0.847,,B,11207
1.187,,B,11205
0.48,,B,11218
0.436,,M,10036
9.322,,B,11207
0.586,,B,11228
0.744,,X,10458
1.194,,X,10452
15.99,,X,10451
0.27,,X,10473
1.29,,B,11206
0.579,,B,11234
1.549,,B,11215
0.429,,B,11222
2.73,,B,11207
0.29,,B,11211
1.371,,B,11201
1.3,,B,11217
0.208,,M,10014
1.43,,B,11234
0.138,,B,11201
0.113,,B,11215
4.73,,X,10471
1.51,,X,10463
1.922,,R,10301
0.056,,B,11207
0.05,,B,11206
0.391,,B,11212
0.064,,B,11206
0.115,,B,11233
0.045,,B,11212
1.649,,B,11223
0.31,,X,10458
0.516,,X,10458
0.201,,X,10458
7.463,,R,10306
0.734,,B,11234
0.043,,B,11207
0.161,,B,11206
1.363,,B,11237
0.348,,B,11221
0.115,,B,11206
0.23,,B,11211
0.172,,B,11206
0.14,,B,11238
0.206,,B,11221
0.172,,B,11207
0.037,,B,11207
0.32,,B,11233
0.41,,B,11207
0.103,,B,11231
0.225,,B,11231
0.103,,B,11231
0.073,,B,11231
0.5,,B,11211
0.591,,B,11207
0.203,,B,11215
0.918,,B,11212
1.648,,B,11212
2.741,,B,11206
2.213,,X,10457
0.125,,B,11226
0.467,,B,11231
0.111,,B,11226
0.07,,B,11238
0.46,,B,11206
1.82,,B,11207
2.939,,B,11208
1.161,,B,11201
6.7,,B,11230
1.438,,B,11213
0.918,,B,11212
1,,B,11212
1.333,,B,11236
1.211,,B,11221
1.1,,B,11206
0.155,,B,11217
0.927,,B,11234
1.003,,B,11236
2.391,,B,11216
1.194,,B,11238
0.907,,B,11206
0.964,,B,11233
1.06,,B,11222
0.539,,B,11208
1.722,,Q,11368
0.8,,B,11207
1.616,,B,11236
0.915,,B,11206
2.282,,B,11224
1.061,,B,11221
0.87,,B,11207
2.656,,B,11234
1.035,,B,11233
2.984,,B,11234
1.195,,B,11216
1.416,,B,11206
0.326,,X,10467
0.917,,B,11205
0.955,,B,11217
0.826,,B,11218
0.174,,X,10451
1.051,,Q,11693
0.959,,B,11239
0.89,,B,11233
0.536,,B,11208
1,,B,11208
0.444,,B,11235
0.926,,B,11207
0.868,,B,11235
0.79,,B,11212
1.259,,B,11238
0.703,,B,11205
1.76,,B,11224
1.033,,B,11205
1.336,,B,11205
0.918,,B,11205
2.295,,B,11234
0.504,,B,11215
2.427,,B,11203
1.23,,B,11228
35.311,,X,"10454, 10455"
0.972,,X,10454
1.721,,B,11236
0.934,,B,11214
3.403,,B,11235
1.21,,B,11236
2.3,,B,11236
1.252,,B,11225
1.687,,B,11205
0.46,,B,11220
1.23,,B,11211
1.97,,B,11206
1.315,,B,11216
1,,B,11212
5.888,,B,11203
2.387,,B,11223
3.023,,B,11210
3.485,,B,11223
2.087,,B,11235
1.894,,B,11229
1.19,,B,11203
1.041,,B,11217
3.361,,M,10002
3.38,,B,11216
2.289,,B,11221
0.189,,B,11211
2.4,,Q,11106
0.876,,Q,11367
0.626,,B,11201
0.287,,X,10453
8.833,,Q,11434
1.151,,Q,11417
23.543,,Q,11413
0.525,,B,11207
0.3,,B,11201
0.32,,B,11201
0.21,,B,11201
0.08,,B,11201
0.52,,B,11231
0.503,,B,11201
0.703,,Q,11373
0.565,,B,11229
0.55,,B,11229
0.197,,B,11234
1.056,,B,11229
2.112,,B,11203
1.37,,B,11209
0.532,,B,11211
0.406,,B,11211
1.547,,B,11216
0.208,,B,11212
1,,B,11225
0.012,,Q,11427
1.791,,B,11212
0.429,,R,10310
1.056,,B,11214
0.327,,B,11211
2.525,,B,11217
0.996,,B,11211
1.6,,R,10314
1.37,,R,10301
3.259,,R,10307
10.5,,R,10310
0.773,,B,11211
138.1,,R,10309
3.201,,B,11206
173.994,,R,"10309, 10312"
1.51,,B,11220
3.23,,R,10308
1.293,,R,10305
0.949,,R,10301
1.124,,R,10312
0.116,,X,10451
3.955,,R,10302
2.836,,R,10302
3.593,,R,10306
0.975,,B,11211
0.934,,B,11238
3.533,,X,10463
0.209,,M,10038
0.047,,X,10455
1.053,,X,10454
1.23,,X,10466
0.716,,X,10467
1.205,,X,10467
2.755,,Q,11370
1.016,,X,10460
1.089,,B,11206
1.537,,Q,11373
0.538,,B,11218
2.326,,B,11221
2.27,,B,11234
0.04,,B,11222
1.875,,M,10007
4.355,,M,10002
0.116,,B,11218
0.918,,B,11201
1.17,,B,11224
0.965,,B,11217
5.44,,X,10468
56.831,,Q,11434
0.064,,B,11201
1.373,,B,11206
44.174,,X,"10451, 10452"
1.13,,B,11203
0.457,,Q,11375
5.278,,R,10310
0.123,,M,10033
11.422,,Q,11356
0.582,,Q,11103
0.925,,Q,11102
0.786,,Q,11106
0.91,,Q,11360
1.967,,Q,11385
0.686,,Q,11358
1.889,,Q,11691
3.814,,Q,11432
1.553,,Q,11357
1.21,,Q,11694
1.206,,Q,11361
1.318,,Q,11416
1.48,,Q,11375
1.145,,Q,11357
1.206,,Q,11355
1.304,,Q,11374
0.942,,Q,11434
1.071,,Q,11434
1.144,,Q,11694
0.935,,Q,11414
0.821,,Q,11354
0.878,,Q,11414
0.974,,Q,11691
1.045,,Q,11413
0.98,,Q,11412
1.146,,Q,11411
1.076,,Q,11433
1.166,,Q,11364
2.719,,Q,"11426, 11427"
0.749,,Q,11366
1.239,,Q,11691
1.526,,Q,11375
2.003,,Q,11413
0.996,,Q,11426
1.033,,Q,11102
2.243,,Q,11367
1.307,,R,10310
7.671,,Q,11354
1.416,,B,11236
0.851,,M,10002
0.809,,Q,11427
1.013,,Q,11375
1.35,,Q,11004
1.48,,Q,11364
0.759,,Q,11363
1.964,,Q,11364
104.6,,Q,11362
3.673,,Q,11362
2.552,,Q,11361
1.16,,Q,11004
3.757,,Q,11365
1.14,,Q,11356
2.948,,Q,11004
11.788,,Q,11354
237.147,,Q,11365
0.551,,Q,11354
1.439,,Q,11357
0.581,,Q,11432
1.025,,Q,11422
0.091,,B,11207
0.092,,B,11208
0.062,,B,11233
0.083,,B,11233
0.219,,B,11212
0.546,,B,11207
0.09,,B,11208
0.043,,B,11205
0.058,,B,11221
0.275,,B,11207
0.165,,B,11206
0.189,,B,11233
0.116,,B,11233
0.191,,B,11236
0.114,,X,10460
0.211,,B,11233
0.039,,B,11221
0.057,,B,11221
0.046,,B,11207
0.152,,B,11206
0.081,,B,11208
0.183,,B,11207
0.172,,B,11208
0.123,,B,11211
0.104,,B,11206
0.119,,B,11207
0.28,,B,11208
0.08,,B,11216
0.165,,B,11221
0.065,,B,11225
0.068,,B,11238
0.057,,B,11207
0.036,,B,11207
0.145,,B,11233
0.081,,B,11216
0.046,,B,11216
0.114,,B,11208
0.032,,B,11207
0.107,,B,11207
0.13,,B,11221
0.154,,B,11233
0.061,,B,11207
0.23,,B,11212
0.097,,B,11208
0.161,,B,11207
0.149,,B,11216
0.16,,B,11207
0.091,,B,11208
0.165,,B,11216
0.129,,B,11207
0.321,,B,11207
0.206,,B,11207
0.114,,B,11206
0.137,,B,11211
1.4,,X,10461
1.17,,B,11211
9.134,,B,11222
10.384,,B,11201
3.214,,B,11235
0.865,,B,11207
1.821,,B,11205
0.871,,B,11228
0.913,,B,11220
0.554,,B,11215
8.271,,B,11231
1.447,,B,11229
3.449,,B,11229
2.618,,X,10473
0.123,,M,10026
7.047,,B,11213
1.502,,Q,11370
2.027,,Q,11104
1.31,,Q,11105
1.13,,Q,11691
0.207,,Q,11106
1.05,,Q,11104
0.912,,R,10309
0.574,,Q,11385
3.076,,Q,11368
11.5,,Q,11432
1.297,,Q,11364
0.626,,Q,11373
0.005,,B,11222
0.366,,M,10013
0.437,,B,11214
